node,name
3737,Katrasgarh
3743,Muhammadpur
3745,Darbhanga Junction
3746,Tarsarai
3747,Mahrail
3748,Angar Ghat
3750,Sathajagat
3751,Bajpatti
3754,Belari Halt
3758,Sathajagat
3759,Nirmali
3765,Ranipatra
3766,Salmari
3769,Meenapur
3771,Katihar Junction
3779,Purniya Junction
3780,Kumedpur Junction
3786,Gunjaria
3787,Taiabpur
3803,Sabaur
3813,Bhagalpur Junction
3814,Ekchari
3820,Thana Bihpur Junction
3831,Uren
3834,Mokameh Junction
3842,Ratanpur
3844,Pawai Brohmasthan Halt
3845,Dasharathpur
3846,Vishnupur Bathua Halt
3852,Kamarganj
3854,Ballia
3859,Phephna Junction
3865,Yusufpur
3866,Sham Kauria
3868,Chaf
3869,Gopalganj
3873,Kath Kuiyan
3875,Paterhi
3876,Maniram
3877,Nakaha Jungle
3878,Marhaura
3880,Padrauna
3883,Ratan Sarai
3886,Sasa Musa
3887,Ghosi
3890,Brij Kishor Halt
3892,Nagsar Halt
3893,Masrakh Junction
3897,Rawat Ganj
3899,Lehra
3943,Rajur
3949,Valha
3984,Kalol Junction
3989,Tintoda
4007,Tikri
4011,Sohawal
4014,Perundurai
4016,Janghai Junction
4017,Bhupia Mau
4019,Gaura
4025,Malipur railway station
4029,Bachhrawan
4034,Lachhmanpur Station
4035,Amethi
4036,Makkhanpur
4037,Bitroi
4040,Fatehpur
4042,Kaimganj
4044,Gangagarh Halt
4045,Kurasti Kalan
4052,Sahawar
4054,Kachhla Bridge
4057,Tindauli
4060,Madhonganj
4061,Garkha
4062,Mallanwan
4063,Badhari Kalan
4064,Gumthal
4065,Mendu
4070,Rajghat Narora
4072,Chandausi Junction
4073,Jargaon
4075,Mathura Cantonment
4089,Pichkurir Dhal
4091,Noadar Dhal
4094,Bhimgara Junction
4101,Niphad
4102,Kanhegaon
4107,Taklimiya
4109,Nimblak
4110,Telo
4111,Sonardih
4112,Radhagaon
4121,Bandhdih
4122,Bhojudih Junction
4126,Bhaga
4127,Bhowrah
4132,Santaldih
4135,Sijua
