id,lon,lat
279,76.86132,11.34417
280,76.86117,11.34392
281,76.85607,11.34483
282,76.85583,11.34478
283,76.85487,11.34479
284,76.85398,11.34421
285,76.85342,11.34404
286,76.85104,11.34577
287,76.84959,11.34745
288,76.84945,11.34795
289,76.84921,11.34877
290,76.84820,11.34964
291,76.84811,11.34971
292,76.84761,11.34985
293,76.84614,11.35090
294,76.84535,11.35108
295,76.83850,11.34371
296,76.83578,11.34210
297,76.83469,11.34216
298,76.83026,11.34273
299,76.83006,11.34287
300,76.82916,11.34299
301,76.82104,11.33840
302,76.81327,11.33456
303,76.81271,11.33398
304,76.80945,11.33156
305,76.80838,11.33017
306,76.79670,11.32881
307,76.78723,11.33247
308,76.78757,11.33284
309,76.79107,11.33492
310,76.79163,11.33535
311,76.79419,11.33468
312,76.79662,11.34202
313,76.78664,11.35047
314,76.78464,11.35809
315,76.72221,11.38673
316,76.70525,11.38475
317,80.28978,13.26117
318,77.58495,12.99588
319,76.29123,9.96933
320,83.00943,25.33786
321,83.03847,25.31604
322,83.01073,25.33700
323,83.02788,25.34116
324,83.02731,25.35047
325,82.98045,25.32344
326,82.97186,25.29831
327,82.91702,25.31879
328,83.08655,25.28952
329,83.10780,25.27252
330,83.09438,25.26937
331,83.08948,25.28800
332,83.08638,25.25395
333,83.10849,25.27309
334,83.09857,25.26605
335,83.09626,25.26330
336,83.08646,25.25390
337,83.08655,25.25380
338,83.11597,25.27701
339,83.12522,25.28157
340,83.12574,25.28182
341,76.95346,11.24855
342,76.95604,11.24223
343,76.95722,11.24047
344,76.95828,11.23925
345,76.97298,11.21433
346,76.97299,11.21367
347,76.97290,11.21282
348,76.96416,11.19478
349,76.96422,11.19331
350,76.96566,11.18138
351,76.95468,11.16185
352,76.95054,11.15125
353,76.94866,11.13732
354,76.94865,11.12613
355,76.94867,11.11560
356,76.95237,11.03521
357,76.95535,11.01789
358,76.98656,11.03264
359,77.00897,11.03181
360,77.05762,11.01085
361,77.10111,11.03964
362,77.17527,11.08128
363,77.18093,11.08424
364,77.18535,11.08648
365,77.31436,11.10829
366,77.31996,11.10752
367,77.35218,11.11193
368,77.37203,11.13226
369,77.37617,11.13652
370,77.38291,11.14096
371,77.41199,11.15367
372,77.41784,11.15442
373,77.44461,11.15411
374,77.46199,11.17147
375,77.53802,11.20240
376,77.58790,11.22572
377,77.71610,11.32244
378,77.76148,11.36292
379,77.76076,11.36680
380,77.76100,11.36756
381,77.76451,11.37080
382,77.76849,11.37039
383,77.78442,11.37189
384,77.81106,11.38812
385,77.81181,11.38877
386,77.81486,11.39256
387,77.82109,11.39936
388,77.84469,11.42340
389,77.85466,11.43227
390,77.86602,11.43964
391,77.87343,11.45200
392,77.87458,11.45380
393,77.90527,11.49231
394,77.90707,11.49406
395,77.91073,11.49634
396,77.99726,11.55583
397,78.09390,11.60980
398,78.09532,11.61130
399,78.11643,11.64657
400,78.11360,11.67030
401,78.09441,11.69968
402,78.09457,11.74382
403,78.09623,11.74699
404,78.09704,11.75054
405,78.13048,11.85553
406,78.14101,11.86095
407,78.15381,11.87211
408,78.16564,11.90108
409,78.26134,11.99808
410,78.27803,12.01652
411,78.28224,12.02069
412,78.28519,12.02310
413,78.45568,12.26902
414,78.47983,12.30798
415,78.49885,12.37592
416,78.49919,12.37927
417,78.50366,12.39903
418,78.55047,12.48018
419,78.56170,12.49856
420,78.57797,12.56300
421,78.57799,12.56376
422,78.57552,12.58989
423,78.58391,12.65911
424,78.59253,12.66192
425,78.59506,12.66329
426,78.64069,12.69439
427,78.70936,12.76661
428,78.73475,12.79986
429,78.78030,12.83718
430,78.78693,12.84497
431,78.78700,12.84507
432,78.78977,12.85032
433,78.79463,12.85735
434,78.84347,12.89155
435,79.17243,12.97425
436,79.17364,12.97443
437,79.23124,12.97019
438,79.23675,12.97158
439,79.24591,12.97491
440,79.26746,12.97989
441,79.27912,12.98079
442,79.39647,12.99661
443,74.84664,12.85470
444,74.84717,12.85427
445,74.85594,12.84576
446,74.85683,12.83618
447,74.85720,12.82930
448,74.85724,12.82809
449,74.85951,12.85393
450,74.87322,12.86347
451,78.57848,12.65196
452,78.22099,11.96495
453,78.46345,17.40370
454,78.46729,17.39116
455,78.46913,17.43766
456,78.46990,17.43782
457,75.24011,12.05064
458,75.24019,12.05131
459,83.16738,25.29723
460,83.16763,25.29706
461,83.16306,25.29866
462,83.15818,25.29776
463,83.12691,25.28223
464,83.12459,25.28154
465,83.19511,25.31523
466,83.19539,25.31532
467,83.22599,25.32104
468,83.17499,25.30619
469,83.17542,25.30551
470,83.17684,25.30323
471,83.17691,25.30311
472,83.17406,25.30550
473,83.18011,25.27438
474,83.07222,25.24081
475,83.07245,25.24101
476,75.74175,11.35579
477,75.74116,11.35362
478,75.40029,11.86689
479,75.37119,11.86885
480,75.35320,11.91097
481,75.34650,11.93150
482,76.64368,12.31384
483,76.64257,12.31318
484,76.63901,12.31207
485,76.63760,12.29862
486,76.63808,12.29569
487,76.63377,12.25340
488,76.66664,12.18926
489,76.64307,12.32333
490,83.03286,25.32508
491,82.91305,25.40619
492,82.88052,25.45397
493,82.95641,25.34243
494,82.95990,25.33709
495,82.95943,25.33810
496,82.96006,25.33718
497,82.95926,25.33802
498,83.03180,25.32681
499,80.23278,13.06594
500,80.23283,13.06621
501,82.99745,25.33379
502,82.99774,25.33395
503,85.80525,20.23161
504,82.99187,25.33067
505,82.99211,25.33081
506,82.99628,25.33314
507,82.99656,25.33329
508,82.97163,25.32546
509,82.92575,25.31649
510,77.70913,12.80159
511,77.56598,13.04631
512,77.56361,13.04450
513,77.56106,13.04008
