id,lon,lat
738,72.810990,18.962788
739,72.827688,18.963273
740,72.824648,18.963649
741,72.825905,18.963583
742,72.837050,18.962834
743,72.827156,18.963488
744,72.828637,18.963224
745,72.837761,18.963287
746,72.808783,18.963849
747,72.818287,18.963807
748,72.824693,18.963937
749,72.844005,18.963546
750,72.819197,18.963832
751,72.823763,18.963794
752,72.825919,18.963892
753,72.828006,18.963434
754,72.820006,18.963780
755,72.824727,18.964151
756,72.844444,18.963573
757,72.818790,18.964008
758,72.820841,18.964047
759,72.825958,18.964161
760,72.827200,18.963762
761,72.824631,18.968078
762,72.844356,18.963861
763,72.845108,18.964085
764,72.827249,18.964047
765,72.829434,18.964128
766,72.829753,18.964075
767,72.830097,18.964071
768,72.830298,18.964057
769,72.830695,18.964060
770,72.819199,18.964164
771,72.826011,18.964422
772,72.831611,18.963984
773,72.803613,18.964326
774,72.805080,18.964708
775,72.807905,18.964552
776,72.827315,18.964383
777,72.844296,18.964274
778,72.845225,18.964399
779,72.824800,18.964591
780,72.804346,18.964683
781,72.810546,18.965247
782,72.826062,18.964680
783,72.838210,18.964312
784,72.844317,18.964481
785,72.845299,18.964584
786,72.827370,18.964668
787,72.840897,18.964165
788,72.824859,18.964991
789,72.831159,18.964391
790,72.840173,18.964301
791,72.826101,18.964943
792,72.827411,18.964959
793,72.844346,18.964697
794,72.845343,18.964774
795,72.829469,18.964849
796,72.818762,18.965198
797,72.826139,18.965255
798,72.827472,18.965242
799,72.830101,18.964810
800,72.830667,18.964846
801,72.802215,18.964618
802,72.824930,18.965447
803,72.826165,18.965531
804,72.827517,18.965517
805,72.829480,18.965208
806,72.829737,18.965160
807,72.838660,18.964815
808,72.822770,18.965556
809,72.826183,18.965859
810,72.831234,18.965078
811,72.845887,18.965626
812,72.847130,18.965729
813,72.824989,18.965823
814,72.827570,18.965787
815,72.828712,18.965236
816,72.829049,18.965246
817,72.844141,18.965476
818,72.844558,18.965469
819,72.845303,18.965541
820,72.845518,18.965585
821,72.817031,18.966510
822,72.819086,18.965823
823,72.831429,18.965345
824,72.809237,18.966640
825,72.818898,18.965944
826,72.826206,18.966118
827,72.847177,18.966093
828,72.812828,18.966706
829,72.825031,18.966089
830,72.827630,18.966035
831,72.828116,18.966179
832,72.840963,18.965278
833,72.829460,18.966163
834,72.845908,18.965944
835,72.822265,18.966244
836,72.822744,18.966137
837,72.826221,18.966405
838,72.827678,18.966296
839,72.840685,18.965681
840,72.825075,18.966369
841,72.825098,18.966689
842,72.832388,18.965625
843,72.825794,18.966611
844,72.828132,18.966321
845,72.826228,18.966705
846,72.831292,18.966053
847,72.811382,18.967371
848,72.820899,18.966494
849,72.821339,18.966730
850,72.826121,18.966751
